"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038170024","79-58 77 AVENUE","11385",3,3,40.7063565,-73.8698487
"4038170025","79-60 77 AVENUE","11385",1,2,40.7063783,-73.8697621
"4038170026","79-62 77 AVENUE","11385",1,2,40.7063947,-73.8696936
"4038170027","79-64 77 AVENUE","11385",1,2,40.7064111,-73.869625
"4038170028","79-66 77 AVENUE","11385",1,2,40.7064275,-73.8695564
"4038170029","79-68 77 AVENUE","11385",1,2,40.7064439,-73.8694843
"4038170031","77-02 80 STREET","11385",2,2,40.7065891,-73.8692604
"4038170033","77-06 80 STREET","11385",2,2,40.7064957,-73.8692173
"4038170035","77-10 80 STREET","11385",2,2,40.7063996,-73.8691706
"4038170037","79-77 77 ROAD","11385",1,1.5,40.7062376,-73.8690987
"4038170041","79-73 77 ROAD","11385",2,2,40.7061856,-73.8692323
"4038170042","79-71 77 ROAD","11385",2,2,40.7061912,-73.8693261
"4038170044","79-69 77 ROAD","11385",2,2,40.7061693,-73.8694163
"4038170045","79-65 77 ROAD","11385",2,2,40.7061502,-73.8694921
"4038170046","79-63 77 ROAD","11385",2,2,40.7061311,-73.869575
"4038170047","79-61 77 ROAD","11385",2,2,40.706112,-73.8696544
"4038170048","79-59 77 ROAD","11385",2,2,40.7060956,-73.869723
"4038170049","79-57 77 ROAD","11385",1,2,40.7060792,-73.8697916
"4038170050","79-55 77 ROAD","11385",1,2,40.7060628,-73.8698637
"4038170051","79-53 77 ROAD","11385",2,2,40.7060464,-73.8699287
"4038170052","79-51 77 ROAD","11385",2,2,40.70603,-73.8699972
"4038170053","79-49 77 ROAD","11385",1,2,40.7060136,-73.8700658
"4038170054","79-47 77 ROAD","11385",1,2,40.7059972,-73.8701344
"4038170055","79-45 77 ROAD","11385",1,2,40.7059808,-73.8702029
"4038170056","79-43 77 ROAD","11385",1,2,40.7059645,-73.8702751
"4038170057","79-41 77 ROAD","11385",1,2,40.7059481,-73.8703436
"4038170058","79-39 77 ROAD","11385",1,2,40.7059317,-73.8704122
"4038170059","79-37 77 ROAD","11385",1,2,40.7059153,-73.8704808
"4038170060","79-35 77 ROAD","11385",1,2,40.7058989,-73.8705565
"4038180003","77-61 79 PLACE","11385",1,2,40.7051687,-73.8704786
"4038180004","77-59 79 PLACE","11385",2,2,40.7052236,-73.8705001
"4038180005","77-55 79 PLACE","11385",1,2,40.7053005,-73.8705325
"4038180007","77-51 79 PLACE","11385",1,2,40.7054049,-73.8705755
"4038180009","77-49 79 PLACE","11385",1,2,40.70549,-73.870597
"4038180010","77-47 79 PLACE","11385",1,2,40.7055339,-73.8706438
"4038180012","79-36 77 ROAD","11385",1,2,40.7054815,-73.870377
"4038180013","79-38 77 ROAD","11385",2,2,40.7054979,-73.8703085
"4038180014","79-40 77 ROAD","11385",1,2,40.7055143,-73.8702399
"4038180015","79-42 77 ROAD","11385",2,2,40.7055307,-73.8701713
"4038180016","79-44 77 ROAD","11385",1,2,40.7055471,-73.8701028
"4038180017","79-46 77 ROAD","11385",2,2,40.7055634,-73.8700306
"4038180018","79-48 77 ROAD","11385",1,2,40.7055798,-73.869962
"4038180019","79-50 77 ROAD","11385",1,2,40.7055962,-73.8698935
"4038180027","79-66 77 ROAD","11385",1,2,40.7057274,-73.869345
"4038180028","79-68 77 ROAD","11385",1,2,40.7057437,-73.8692764
